D01,D02,D03,D04,D05,D06,D07,D08,D09,D10,E01,E02,E03,E04,E05,E06,E07,E08,E09,E10,I01,I02,I03,I04,I05,I06,I07,I08,I09,I10,L01,L02,L03,L04,L05,L06,L07,L08,L09,L10,P_alg,P_cor,P_dim,P_win,S_CR,S_MPQA,S_MR,S_MRPC,S_SICKEntailment,S_SICKRelatedness,S_SST2,S_SST5,S_STS12,S_STS13,S_STS14,S_STS15,S_STS16,S_STSBenchmark,S_SUBJ,S_TREC,V_chunk,V_ner,V_nli,V_pos,V_questions,V_sentiment
0.0009242144177449168,0.20583333333333334,0.13291666666666666,0.05583333333333333,0.050788954635108484,0.1506137865911237,0.026802218114602587,0.022569444444444444,0.05946180555555555,0.06375,0.33125,0.09958333333333333,0.009548611111111112,0.06458333333333334,0.17291666666666666,0.004583333333333333,0.0033333333333333335,0.004583333333333333,0.1375,0.3909502262443439,0.6616666666666666,0.445,0.5716666666666667,0.48625,0.8695833333333334,0.6095833333333334,0.6004166666666667,0.5525,0.4033333333333333,0.6329166666666667,0.029583333333333333,0.05125,0.11541666666666667,0.03791666666666667,0.025085034013605442,0.03231292517006803,0.11819727891156463,0.17041666666666666,0.16241496598639457,0.20416666666666666,cbow,nyt,150,1,77.01,86.1,74.89,80.46,75.28,0.7306175541769628,78.75,40.23,0.3833810848727014,0.32538349087199303,0.39492981136160443,0.4439172964488736,0.3388826516043878,0.47627113980019276,89.63,70.0,0.9312331743257923,0.9724688820815076,0.4423162583518931,0.9622177265022691,0.836996336996337,0.6674311926605505
0.0004621072088724584,0.16583333333333333,0.14041666666666666,0.007083333333333333,0.05374753451676528,0.06751652502360718,0.01756007393715342,0.026475694444444444,0.0959201388888889,0.0875,0.5583333333333333,0.19791666666666666,0.0026041666666666665,0.09041666666666667,0.16291666666666665,0.009583333333333333,0.00375,0.005833333333333334,0.021666666666666667,0.40407239819004526,0.5925,0.44083333333333335,0.4083333333333333,0.2725,0.9104166666666667,0.6354166666666666,0.5970833333333333,0.6333333333333333,0.4875,0.56125,0.01625,0.04125,0.13875,0.0375,0.026785714285714284,0.04336734693877551,0.11607142857142858,0.14625,0.15051020408163265,0.15,cbow,nyt,150,11,75.87,86.65,73.88,79.44,75.66,0.7296502950771127,76.88,39.77,0.4118356889349265,0.40548768734901913,0.5230726700405409,0.5593506452809527,0.4523446408655931,0.5113791914322116,90.34,74.2,0.9130968686534737,0.9634340222575516,0.42761692650334077,0.9562031822406911,0.4816849816849817,0.6479357798165137
0.0009242144177449168,0.16125,0.14416666666666667,0.010416666666666666,0.05276134122287968,0.06562795089707271,0.014787430683918669,0.03211805555555555,0.09375,0.08291666666666667,0.56625,0.2,0.006510416666666667,0.08125,0.16833333333333333,0.006666666666666667,0.002916666666666667,0.007916666666666667,0.030833333333333334,0.4063348416289593,0.5775,0.44333333333333336,0.40375,0.2866666666666667,0.9191666666666667,0.6420833333333333,0.5966666666666667,0.6329166666666667,0.49083333333333334,0.5445833333333333,0.01625,0.04375,0.13,0.03125,0.025935374149659865,0.039965986394557826,0.11267006802721088,0.1525,0.15051020408163265,0.14541666666666667,cbow,nyt,150,13,76.48,86.52,73.99,79.65,75.73,0.7420039169159112,76.88,40.63,0.41532423581934286,0.4068343172731687,0.5263107528483624,0.5629635420103151,0.45433621361695825,0.4645048935927654,90.27,73.4,0.9127190289519671,0.9642483229283804,0.4267260579064588,0.9546106949532506,0.47619047619047616,0.6811926605504587
0.0004621072088724584,0.16208333333333333,0.14208333333333334,0.009583333333333333,0.04930966469428008,0.06751652502360718,0.01756007393715342,0.029947916666666668,0.09461805555555555,0.08875,0.5908333333333333,0.21208333333333335,0.010416666666666666,0.07125,0.15333333333333332,0.00875,0.005416666666666667,0.005416666666666667,0.02666666666666667,0.4,0.5820833333333333,0.43666666666666665,0.38416666666666666,0.26958333333333334,0.9079166666666667,0.63125,0.5920833333333333,0.6283333333333333,0.48541666666666666,0.5425,0.025,0.0375,0.13083333333333333,0.034583333333333334,0.026785714285714284,0.039965986394557826,0.12414965986394558,0.14875,0.15008503401360543,0.14625,cbow,nyt,150,15,76.29,86.44,73.94,79.87,75.71,0.7418776327458764,76.83,40.45,0.4171897512677578,0.4087378354383759,0.5291557391728322,0.5668547886760479,0.45732790524495603,0.49205054894671385,90.48,73.8,0.913285788504227,0.9631432005893986,0.4378619153674833,0.9536470009295205,0.45604395604395603,0.6318807339449541
0,0.15958333333333333,0.14833333333333334,0.0075,0.054240631163708086,0.06751652502360718,0.015249537892791128,0.03211805555555555,0.09765625,0.08625,0.6145833333333334,0.22041666666666668,0.007378472222222222,0.07125,0.16958333333333334,0.012916666666666667,0.005416666666666667,0.0075,0.03125,0.39638009049773754,0.5770833333333333,0.44375,0.3825,0.25375,0.91625,0.6270833333333333,0.5916666666666667,0.6320833333333333,0.4870833333333333,0.5366666666666666,0.022916666666666665,0.041666666666666664,0.13458333333333333,0.03333333333333333,0.026360544217687076,0.04124149659863945,0.11819727891156463,0.14875,0.14668367346938777,0.14708333333333334,cbow,nyt,150,17,76.5,86.43,74.09,80.24,75.56,0.7377644077757463,76.94,41.0,0.42165129550050384,0.41053602527534805,0.5312327238965583,0.5697290152713629,0.45730153758308456,0.5263690477380086,90.23,73.2,0.9113021300713172,0.9622125712513087,0.4155902004454343,0.953975066980152,0.4340659340659341,0.6662844036697247
0.0004621072088724584,0.15958333333333333,0.1475,0.007083333333333333,0.054240631163708086,0.06515580736543909,0.01155268022181146,0.029513888888888888,0.09418402777777778,0.08041666666666666,0.6175,0.21375,0.009982638888888888,0.06625,0.15833333333333333,0.0125,0.0020833333333333333,0.007916666666666667,0.02375,0.40407239819004526,0.58125,0.44625,0.38083333333333336,0.2579166666666667,0.9120833333333334,0.6233333333333333,0.5904166666666667,0.63,0.49583333333333335,0.5408333333333334,0.022916666666666665,0.03875,0.13041666666666665,0.027916666666666666,0.026785714285714284,0.04124149659863945,0.12287414965986394,0.14875,0.14625850340136054,0.13958333333333334,cbow,nyt,150,19,76.64,86.53,73.88,79.53,76.6,0.7496018908520368,77.27,40.18,0.4238756610244362,0.4124735309867124,0.5330788599052013,0.5708486302314772,0.4599440318124429,0.5206219953500432,90.44,73.4,0.9110659802578756,0.9626003334755128,0.4338530066815145,0.9539887363989283,0.4358974358974359,0.6169724770642202
0,0.20041666666666666,0.12958333333333333,0.024166666666666666,0.03747534516765286,0.11520302171860246,0.015711645101663587,0.029079861111111112,0.07161458333333333,0.08583333333333333,0.42833333333333334,0.14041666666666666,0.007378472222222222,0.09541666666666666,0.20375,0.005416666666666667,0.0033333333333333335,0.0020833333333333333,0.034166666666666665,0.40316742081447965,0.6191666666666666,0.4370833333333333,0.46041666666666664,0.32416666666666666,0.91,0.6641666666666667,0.6320833333333333,0.6125,0.46625,0.6166666666666667,0.01625,0.03333333333333333,0.13541666666666666,0.03208333333333333,0.030612244897959183,0.03826530612244898,0.1130952380952381,0.15375,0.15051020408163265,0.16291666666666665,cbow,nyt,150,3,76.21,86.39,74.25,78.77,76.09,0.736329999266838,78.2,40.0,0.39127089124514897,0.3622265509668156,0.4778777247861033,0.5168887640650492,0.4142047518862174,0.507210198097953,89.71,72.6,0.9250932791763095,0.9682810500601031,0.4405345211581292,0.9596273716441577,0.6868131868131868,0.7098623853211009
0.0004621072088724584,0.1875,0.14375,0.02,0.03747534516765286,0.10103871576959396,0.02310536044362292,0.031684027777777776,0.08072916666666667,0.08916666666666667,0.46291666666666664,0.17541666666666667,0.005642361111111111,0.10125,0.17666666666666667,0.004166666666666667,0.0033333333333333335,0.004166666666666667,0.027916666666666666,0.4090497737556561,0.5891666666666666,0.4295833333333333,0.44083333333333335,0.30291666666666667,0.9254166666666667,0.6479166666666667,0.6308333333333334,0.6233333333333333,0.4791666666666667,0.6066666666666667,0.01625,0.03958333333333333,0.14041666666666666,0.03,0.02806122448979592,0.03741496598639456,0.11139455782312925,0.14083333333333334,0.15773809523809523,0.16208333333333333,cbow,nyt,150,5,76.21,86.23,73.81,80.39,75.64,0.7332847752400452,77.87,40.0,0.39630811465908,0.3852909835744917,0.5012540570688272,0.5378900217161349,0.43470103701561136,0.48673524438877663,90.2,72.4,0.9196146035044632,0.9658769242700376,0.42316258351893093,0.9584039586636777,0.5494505494505495,0.6743119266055045
0.0004621072088724584,0.17375,0.14291666666666666,0.014166666666666666,0.040927021696252466,0.09159584513692162,0.021719038817005546,0.03602430555555555,0.08333333333333333,0.08625,0.49375,0.19583333333333333,0.006510416666666667,0.08916666666666667,0.17333333333333334,0.005416666666666667,0.004583333333333333,0.004583333333333333,0.025416666666666667,0.40542986425339367,0.5845833333333333,0.44333333333333336,0.42625,0.28708333333333336,0.92375,0.6504166666666666,0.61875,0.6295833333333334,0.4866666666666667,0.5854166666666667,0.0125,0.03958333333333333,0.14458333333333334,0.030416666666666668,0.026785714285714284,0.04039115646258504,0.10671768707482993,0.14791666666666667,0.15858843537414966,0.155,cbow,nyt,150,7,76.34,86.64,73.79,79.31,74.67,0.7300692160259291,77.7,39.82,0.40255684694532456,0.39404740809976246,0.5110933413509565,0.5478172439785322,0.44301460618688415,0.5044457950083024,90.04,73.0,0.9173475652954234,0.9656248788243049,0.43028953229398664,0.9560938268904806,0.5787545787545788,0.6571100917431193
0.0009242144177449168,0.17083333333333334,0.14416666666666667,0.009583333333333333,0.055226824457593686,0.07884796978281397,0.018022181146025877,0.029079861111111112,0.09375,0.08625,0.525,0.1925,0.004340277777777778,0.08458333333333333,0.16416666666666666,0.00875,0.0033333333333333335,0.00375,0.027916666666666666,0.40316742081447965,0.58375,0.44,0.42541666666666667,0.28208333333333335,0.9154166666666667,0.6425,0.605,0.635,0.4891666666666667,0.57,0.01875,0.04,0.13791666666666666,0.03208333333333333,0.02806122448979592,0.042091836734693876,0.12032312925170068,0.13791666666666666,0.14795918367346939,0.1525,cbow,nyt,150,9,76.79,86.45,74.26,80.03,75.3,0.7350925326752976,77.98,40.18,0.40777369786332535,0.401089924801159,0.5191913616662042,0.554480578564349,0.44732261868863377,0.4880448762778623,90.27,73.6,0.9160251263401502,0.964306487262011,0.42316258351893093,0.9563467111378424,0.49633699633699635,0.6295871559633027
